GENE	MET	NONMET
AHNAK	3	1
AKAP11	14	5
AKR7L	3	0
ATM	5	2
ATR	3	4
BRCA1	9	4
BRCA2	11	3
BRIP1	3	2
C1orf168	2	1
CALCA	0	0
CAMSAP2	2	0
CAPN9	5	3
CCDC112	6	4
CENPJ	3	0
CHEK2	1	1
CLTCL1	1	0
CNDP1	7	4
COG2	5	3
COL4A3	5	0
CRISPLD1	8	3
DDX11	2	0
DNAJC10	0	0
ERBIN	6	4
EXO1	8	3
FANCD2	1	2
FMN2	10	4
FOCAD	1	2
FREM1	2	0
GJD4	4	1
HCK	0	0
IFIT2	6	4
IL17RD	5	2
ILVBL	7	3
ING1;ING1	0	0
KDM6B	8	5
KIAA1671	1	1
KMT2D	5	6
KMT2E	0	0
LAMA5	1	3
LAMB1	0	0
LSM14A	0	0
MASP1	2	6
MCM2	4	5
MET	4	3
MSH2	3	0
MSH3	7	2
MUC5AC	13	8
MYC	8	3
NBN	6	5
NECAB3	2	4
NECTIN2	9	6
NID2	0	0
NIPSNAP3A	5	3
NPC1	2	3
PALB2	0	0
PEPD	2	1
PKD1L2	0	0
PLEKHM3	2	0
POLB	10	0
POLG	2	0
PPM1E	3	0
PTPRQ	7	1
PUS1	4	4
RAD51C	3	0
RFXANK	1	1
RIF1	5	4
RP1L1	11	3
S1PR2	1	0
SCARF1	0	0
SPRY3	4	5
SRP72	5	2
SUSD1	4	4
TENM4	0	1
TEX15	13	4
TLL2	3	2
TP53	6	4
TP53BP1	3	2
TRAIP	3	2
TRAPPC12	1	0
TTC38	3	0
WNT10A	3	2
WRN	13	3
XIRP1	2	1
ZC3H7A	5	3
ZSWIM4	0	1
